"mono_rep1","mono_rep2","mono_rep3","ctrl_rep1","ctrl_rep2","repop_rep1","repop_rep2","repop_rep3"
"0610005C13Rik",0,0,0,1,0,1,1,1
"0610007N19Rik",2,0,0,0,2,0,2,0
"0610007P14Rik",542,223,331,247,262,331,222,195
"0610008F07Rik",0,0,0,0,0,0,0,0
"0610009B14Rik",0,0,0,0,0,0,0,0
"0610009B22Rik",195,102,117,204,175,175,111,98
"0610009D07Rik",821,387,454,478,431,417,241,192
"0610009L18Rik",25,10,14,10,11,20,17,23
"0610009O20Rik",336,175,250,228,253,199,136,245
"0610010B08Rik",0,3,1,1,4,2,0,2
"0610010F05Rik",317,191,176,68,84,97,102,50
"0610010K14Rik",754,374,618,539,511,516,314,529
"0610011F06Rik",93,41,57,47,45,51,43,34
"0610012G03Rik",460,221,335,158,157,327,240,163
"0610012H03Rik",0,0,0,0,0,0,0,0
"0610030E20Rik",383,189,272,185,222,203,151,221
"0610031J06Rik",3206,1749,2272,1918,1780,2799,1991,1917
"0610031O16Rik",0,0,0,0,0,0,0,0
"0610037L13Rik",236,138,163,222,210,165,122,143
"0610038B21Rik",0,0,0,0,0,0,0,2
"0610038L08Rik",0,0,0,0,0,0,0,0
"0610039K10Rik",7,2,3,4,4,9,2,6
"0610040B10Rik",3,2,1,3,2,6,2,0
"0610040F04Rik",1,0,0,0,0,0,0,0
"0610040J01Rik",442,203,288,1370,1384,1057,643,1078
"0610043K17Rik",0,0,0,0,1,0,0,1
"1100001G20Rik",19,9,3,207,187,21,19,19
"1110001A16Rik",527,279,366,290,274,388,315,185
"1110001J03Rik",170,90,82,49,40,52,39,21
"1110002L01Rik",19,6,6,8,13,15,7,13
"1110004E09Rik",88,40,64,33,40,29,36,32
"1110004F10Rik",1042,565,674,657,721,586,342,438
"1110006O24Rik",6,1,4,0,2,2,1,7
"1110007C09Rik",356,194,234,196,224,169,98,164
"1110008F13Rik",575,291,368,313,314,370,287,228
"1110008J03Rik",48,23,42,28,12,23,19,20
"1110008L16Rik",140,84,72,57,66,88,50,56
"1110008P14Rik",85,50,70,32,19,50,43,14
"1110012L19Rik",133,71,92,89,76,74,55,41
"1110015O18Rik",0,0,0,0,0,0,0,0
"1110017D15Rik",1,0,2,0,4,0,0,1
"1110018G07Rik",639,340,383,650,672,931,451,608
"1110019D14Rik",20,5,9,28,11,18,11,7
"1110020A21Rik",5,1,1,2,0,0,0,1
"1110025L11Rik",0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,1,0,0,0
"1110028F18Rik",0,0,1,0,0,0,0,0
"1110032A03Rik",106,84,72,108,109,109,70,101
"1110032F04Rik",0,0,0,0,1,0,0,0
"1110034G24Rik",83,60,49,130,117,104,49,71
"1110035M17Rik",16,4,11,23,24,28,17,29
"1110036E04Rik",0,0,0,0,0,0,0,0
"1110037F02Rik",1070,484,589,457,533,567,435,407
"1110038B12Rik",262,175,207,47,36,277,137,107
"1110038F14Rik",207,100,166,157,120,114,90,128
"1110046J04Rik",0,1,1,0,1,1,2,1
"1110051M20Rik",111,61,65,112,136,68,26,66
"1110054M08Rik",22,13,16,24,9,22,16,14
"1110057K04Rik",674,317,394,440,457,440,216,325
"1110058L19Rik",184,87,96,133,138,155,118,80
"1110059E24Rik",278,154,170,209,220,160,116,92
"1110059G10Rik",241,122,154,258,262,240,134,153
"1110059M19Rik",1,1,0,0,1,0,1,0
"1110065P20Rik",73,32,44,27,18,44,31,17
"1190002F15Rik",78,37,69,2,0,1,3,5
"1190002N15Rik",659,379,359,301,286,616,386,229
"1190003J15Rik",0,0,0,0,0,0,0,0
"1190003K10Rik",0,0,0,0,0,0,0,0
"1190005I06Rik",2,4,1,0,1,5,3,0
"1190007I07Rik",60,18,44,42,26,34,17,16
"1200011I18Rik",631,378,294,270,246,314,214,280
"1200014J11Rik",568,358,367,444,484,454,238,519
"1300002E11Rik",53,26,37,49,49,36,23,23
"1300002K09Rik",17,7,8,2,1,10,6,1
"1300015D01Rik",0,0,0,0,0,0,0,0
"1300017J02Rik",0,0,0,0,0,0,0,0
"1300018J18Rik",179,86,98,89,80,95,100,103
"1500002O10Rik",0,1,0,0,0,0,0,0
"1500004A13Rik",24,8,13,4,7,7,5,17
"1500009C09Rik",5,1,1,5,6,8,1,1
"1500009L16Rik",0,0,0,0,1,0,0,0
"1500011B03Rik",119,69,70,92,68,66,48,59
"1500011K16Rik",258,135,151,159,153,198,109,97
"1500012F01Rik",569,338,411,120,99,779,368,295
"1500012K07Rik",0,0,0,0,0,0,0,0
"1500015A07Rik",17,10,12,6,6,10,3,1
"1500015L24Rik",0,0,0,0,0,0,0,0
"1500015O10Rik",8,0,5,8,15,3,3,14
"1500016L03Rik",0,0,0,0,0,0,0,0
"1500017E21Rik",0,0,0,0,0,0,0,0
"1500032L24Rik",1097,551,908,436,381,480,407,350
"1600002D24Rik",0,0,0,0,0,0,0,0
"1600002H07Rik",66,26,62,26,42,25,11,18
"1600002K03Rik",137,53,94,57,38,91,54,42
"1600010M07Rik",47,22,21,32,30,27,21,36
"1600012H06Rik",480,257,291,509,448,546,351,297
"1600014C10Rik",1824,965,1185,1075,824,1932,1190,934
"1600014C23Rik",0,0,0,0,0,0,0,0
"1600014K23Rik",0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0
"1600016N20Rik",0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0
"1600020E01Rik",26,11,13,12,7,20,14,10
"1600023N17Rik",1,0,0,0,0,0,0,0
"1600025M17Rik",0,0,0,0,0,0,0,0
"1600029D21Rik",0,1,0,1,0,0,0,0
"1600029I14Rik",0,0,0,1,0,1,0,0
"1600029O15Rik",4,1,2,0,1,4,2,0
"1700001C02Rik",0,0,0,0,0,0,0,0
"1700001C19Rik",6,1,4,14,13,15,4,16
"1700001D01Rik",0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,3
"1700001G11Rik",5,2,3,2,2,4,1,4
"1700001G17Rik",3,0,0,3,1,1,2,0
"1700001J03Rik",0,0,0,0,0,0,0,0
"1700001J11Rik",0,1,0,0,0,0,1,0
"1700001K19Rik",2,0,0,0,1,0,0,1
"1700001K23Rik",1,0,0,0,1,0,0,0
"1700001L05Rik",6,6,3,3,2,0,2,4
"1700001L19Rik",0,0,0,1,0,0,0,1
"1700001O22Rik",0,0,1,0,0,1,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,1,0
"1700003E16Rik",1,2,2,0,2,2,0,1
"1700003F12Rik",4,6,4,11,4,17,11,8
"1700003F17Rik",0,0,0,0,0,1,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0
"1700003M02Rik",0,0,0,0,1,0,0,2
"1700003M07Rik",0,1,0,2,0,0,0,1
"1700003P14Rik",0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0
